,time_simulation,P_104 [L/s],Mix_TK100,Mix_R101,Csus_R101,x_R101,SV_p,SV_gl,molCH4_acum_V101,molCO2_acum_V101,molO2_acum_V101,molH2S_acum_V101,molNH3_acum_V101,molH2O_acum_V101,biogas_acum_V101,Pacum_V101,Pstorage_V101,x_CH4_V101,x_CO2_V101,x_O2_V101,x_NH3_V101,x_H2S_V101,RH_V101,molCH4_acum_V102,molCO2_acum_V102,molO2_acum_V102,molH2S_acum_V102,molNH3_acum_V102,molH2O_acum_V102,biogas_acum_V102,Pacum_V102,Pstorage_V102,x_CH4_V102,x_CO2_V102,x_O2_V102,x_NH3_V102,x_H2S_V102,RH_V102,molCH4_acum_V107,molCO2_acum_V107,molO2_acum_V107,molH2S_acum_V107,molNH3_acum_V107,molH2O_acum_V107,biogas_acum_V107,Pacum_V107,Pstorage_V107,x_CH4_V107,x_CO2_V107,x_O2_V107,x_NH3_V107,x_H2S_V107,RH_V107
24,90000,18.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.027664996042313,2.027664996042313,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,46.71842354310338,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
25,93600,0.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.022629147540237,2.022629147540237,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,48.81263694857169,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
26,97200,0.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.0210363132917726,2.0210363132917726,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,49.49699613623349,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
27,100800,0.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.019309333437212,2.019309333437212,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,50.25128450445271,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
28,104400,0.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.0203612382409117,2.0203612382409117,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,49.790311511987966,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
29,108000,0.0,50,50,0.0025364158719694226,0.9147011403145485,0.00852988596854515,8.414306013671363,0.12170443704117984,0.0788312830834915,0.008954632732526903,0.0,0.012447044697393394,0.0030542170338866115,0.22499161458847822,2.0130537811340945,2.0130537811340945,54.837282216595916,35.51960325393145,4.034756120957156,5608.358408515492,0.0,53.094424077811865,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
30,111600,18.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.404444727393205,2.404444727393205,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,49.67144516215245,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
31,115200,0.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.4131926632922425,2.4131926632922425,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,46.592533957219615,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
32,118800,0.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.405611529421099,2.405611529421099,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,49.247763943843495,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
33,122400,0.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.3985696557151956,2.3985696557151956,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,51.86842651060671,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
